"gene","logFC","AveExpr","t","pvalue","padj"
"PAH",1.2483,5.8542,2.3456,0.019,0.04356
"STAB2",-2.6155,6.8889,-6.8234,8.892e-12,2.521e-10
"NT5DC3",-0.3554,9.5139,-1.7869,0.07396,0.1344
"HSP90B1",0.456,14.3744,2.6476,0.008106,0.0212
"C12orf73",0.3811,8.1087,1.617,0.1059,0.1803
"TDG",0.6837,9.697,4.2311,2.325e-05,0.0001395
"GLT8D2",-0.5025,9.5603,-1.5301,0.126,0.2079
"HCFC2",-0.6723,9.3356,-3.4696,0.0005212,0.00205
"NFYB",-0.1343,10.2921,-1.0077,0.3136,0.4275
"EID3",-0.4977,6.6648,-1.9632,0.04962,0.09667
"TXNRD1",0.4605,11.3825,1.9374,0.05269,0.1016
"CHST11",1.3802,9.4871,5.1137,3.159e-07,3.189e-06
"SLC41A2",-0.3473,9.1309,-1.2306,0.2185,0.322
"C12orf45",0.2862,9.1366,1.4873,0.1369,0.2219
"ALDH1L2",1.2711,9.2363,3.913,9.115e-05,0.0004579
"WASHC4",-0.1359,10.8279,-0.8923,0.3722,0.4873
"APPL2",-0.2279,10.9409,-1.3864,0.1656,0.2583
"C12orf75",0.6883,9.2391,2.5336,0.01129,0.02808
"NUAK1",-0.2613,10.2477,-0.8378,0.4022,0.5173
"CKAP4",0.9668,11.8016,5.8919,3.818e-09,6.179e-08
"TCP11L2",-0.8837,8.6407,-3.0725,0.002123,0.006771
"POLR3B",0.0943,9.1168,0.6171,0.5372,0.6439
"RIC8B",0.2876,9.65,1.6024,0.1091,0.1846
